ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
11Alive,"🚨🕊️ Missing Uber Driver Found Shot to Death in Atlanta 

Sammy Jackson, a former college basketball coach and Uber driver, vanished in Warner Robins. Days later, police found his body in a wooded area in Atlanta.

🔹 Last seen Sunday at a Dollar General
🔹 Car found, but no sign of him
🔹 Uber confirms he was working
🔹 No suspects yet—police asking for tips

#Atlanta #Georgia #CrimeNews #JusticeForSammy",2025-01-31T12:00:02.000Z,539.0,43.0,159.0,0.0,True,-0.8945,negative
11Alive,"Sammy Jackson, a former coach and Uber driver, disappeared in Warner Robins. Days later, police found his body in Atlanta, sparking a multi-city homicide probe.",2025-01-31T10:47:42.000Z,29.0,0.0,0.0,818.0,True,-0.2911,negative
Waymo,"Auto mode activated: We're beginning our first fully autonomous miles for Waymo employees in Atlanta, building on years of experience and 33M+ miles across SF, PHX, LA, and ATX. Public autonomous rides will come to Atlantans exclusively through @Uber later this year. https://t.co/NQ2uahp481",2025-01-30T17:19:29.000Z,459.0,79.0,13.0,113489.0,True,0.0,neutral
Brandon,"@Uber I need customer support. I paid extra for Uber luxury. In Atlanta it’s beautiful Teslas, SUV, etc. I just got given a sh*t red Cadillac sedan. Do I need to dispute these charges? That IS NOT luxury. #uber #rideshare",2025-01-26T19:44:28.000Z,0.0,0.0,1.0,18.0,True,0.4215,positive
Human Progress,"""Both companies will have driverless cars—from Alphabet’s Waymo and others—on their apps this year. In the coming months, riders in Austin, Texas, and Atlanta will be able to hail a Waymo through the Uber app.""
https://t.co/sx4VKxZa6F",2025-01-15T19:15:00.000Z,8.0,1.0,0.0,3333.0,True,0.0772,positive
WATE 6 On Your Side,"Uber customers in Atlanta, Georgia, and Austin, Texas, will be able to hail one of these driverless rideshare cars via the app when released.",2025-01-12T15:34:10.000Z,15.0,3.0,11.0,0.0,True,0.0772,positive
KXAN News,Uber customers in Austin will soon be able to hail one of these driverless rideshare cars.,2025-01-09T21:15:09.000Z,126.0,22.0,77.0,0.0,True,0.0772,positive
KXAN News,"Uber and Lyft to offer driverless rideshare cars
MORE: https://t.co/3sfHqBvm37",2025-01-09T21:15:05.000Z,1.0,0.0,0.0,1849.0,True,0.0,neutral
WKRN News 2,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-08T11:30:15.000Z,24.0,2.0,3.0,0.0,True,0.0,neutral
WKRN News 2,Uber and Lyft to offer driverless rideshare cars https://t.co/tij9VHbWqJ,2025-01-08T07:31:56.000Z,2.0,0.0,2.0,1459.0,True,0.0,neutral
WTNH News 8,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months. ,2025-01-08T07:00:14.000Z,16.0,3.0,6.0,0.0,True,0.0,neutral
DC News Now,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months. https://t.co/H7c6KuGBkf,2025-01-08T01:00:07.000Z,1.0,0.0,0.0,365.0,True,0.0,neutral
KRBC News,Uber and Lyft to offer driverless rideshare cars ,2025-01-07T21:30:14.000Z,2.0,0.0,0.0,0.0,True,0.0,neutral
WOWK 13 NEWS,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T19:30:17.000Z,4.0,2.0,1.0,0.0,True,0.0772,positive
Eyewitness News WEHT WTVW,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-07T18:25:40.000Z,7.0,0.0,0.0,0.0,True,0.0,neutral
"WHLT CBS 22 - Hattiesburg, MS",Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.,2025-01-07T18:00:35.000Z,0.0,0.0,0.0,0.0,True,0.4215,positive
WJTV 12 News,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.,2025-01-07T18:00:35.000Z,6.0,1.0,0.0,0.0,True,0.4215,positive
ABC50,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

",2025-01-07T17:30:14.000Z,0.0,0.0,0.0,0.0,True,0.4215,positive
WWTI - ABC50,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

https://t.co/01jqV1YM5G",2025-01-07T17:30:06.000Z,0.0,0.0,0.0,15.0,True,0.4215,positive
KLBK News,"Uber customers in states including Texas will be able to hail one of these driverless rideshare cars via the app when released.
https://t.co/LZJ6k0kLGh",2025-01-07T16:51:50.000Z,0.0,0.0,0.0,185.0,True,0.0772,positive
KLBK News - EverythingLubbock.com,Uber customers in states including Texas will be able to hail one of these driverless rideshare cars via the app when released.,2025-01-07T16:51:42.000Z,9.0,2.0,9.0,0.0,True,0.0772,positive
KTVE 10 KARD 14 myarklamiss,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months https://trib.al/wSblJOq #News,2025-01-07T16:29:10.000Z,3.0,2.0,0.0,0.0,True,0.0,neutral
KTVE - KARD,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months https://t.co/h7OjYZaXrW #News,2025-01-07T16:29:04.000Z,0.0,0.0,0.0,77.0,True,0.0,neutral
KREX5 FOX4 Westernslopenow,"IN NATIONAL NEWS — Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T14:58:10.000Z,3.0,0.0,1.0,0.0,True,0.0772,positive
The Hill,"Two popular rideshare companies are now preparing to offer a new feature: Driverless taxis.

Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.",2025-01-07T14:45:06.000Z,141.0,15.0,79.0,0.0,True,0.4215,positive
WCIA 3 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T14:30:08.000Z,41.0,3.0,15.0,0.0,True,0.4215,positive
KOLR 10 & Ozarks Fox,Both Uber and Lyft are developing Robo taxi partnerships to offer driverless rides in the future and get a cut from those fares.,2025-01-07T14:30:08.000Z,21.0,0.0,11.0,0.0,True,-0.2732,negative
WCIA,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/PO0iN7PLQE",2025-01-07T14:30:03.000Z,1.0,0.0,0.0,466.0,True,0.4215,positive
WKRG,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. https://t.co/Wl9rrJkTJu,2025-01-07T14:03:22.000Z,1.0,0.0,1.0,358.0,True,0.4215,positive
KRON4 News,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. https://t.co/apyAoKwbrY,2025-01-07T12:30:09.000Z,2.0,0.0,0.0,830.0,True,0.4215,positive
WKBN 27 First News,Uber and Lyft to offer driverless rideshare cars https://t.co/TOWZxa4Mib,2025-01-07T12:25:15.000Z,0.0,0.0,1.0,349.0,True,0.0,neutral
KX News,Uber and Lyft to offer driverless rideshare cars ,2025-01-07T12:01:54.000Z,1.0,1.0,0.0,0.0,True,0.0,neutral
KRON 4 News,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. ,2025-01-07T12:00:24.000Z,8.0,1.0,0.0,0.0,True,0.4215,positive
FOX 56 News,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app. ",2025-01-07T11:16:18.000Z,1.0,0.0,0.0,0.0,True,0.0772,positive
WCBD News 2,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T10:36:09.000Z,2.0,1.0,7.0,0.0,True,0.4215,positive
WCBD News 2 | Count on 2,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/odO8vfRerk",2025-01-07T10:36:04.000Z,0.0,0.0,0.0,492.0,True,0.4215,positive
WNCT-TV,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. ,2025-01-07T10:00:17.000Z,7.0,0.0,2.0,0.0,True,0.4215,positive
WNCT,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. https://t.co/H6bzxGzvTN,2025-01-07T10:00:09.000Z,1.0,0.0,0.0,155.0,True,0.4215,positive
WWLP-22News,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T09:00:21.000Z,17.0,2.0,6.0,0.0,True,0.0772,positive
KSAN NEWS,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app. ",2025-01-07T08:32:52.000Z,0.0,0.0,0.0,0.0,True,0.0772,positive
WKRG,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. ,2025-01-07T08:02:01.000Z,6.0,2.0,1.0,0.0,True,0.4215,positive
WAVY TV 10,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.

",2025-01-07T08:01:10.000Z,41.0,13.0,38.0,0.0,True,0.4215,positive
WFXR News,Uber and Lyft to offer driverless rideshare cars ,2025-01-07T06:56:44.000Z,0.0,0.0,0.0,0.0,True,0.0,neutral
ABC4 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/4vk4ysgLcp",2025-01-07T06:48:31.000Z,0.0,0.0,0.0,497.0,True,0.4215,positive
ABC4 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/4vk4ysgLcp",2025-01-07T06:48:31.000Z,0.0,0.0,0.0,477.0,True,0.4215,positive
FOX40,"Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.

",2025-01-07T06:29:07.000Z,20.0,2.0,0.0,0.0,True,0.0,neutral
KGET - TV 17 Bakersfield,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T05:52:45.000Z,18.0,1.0,4.0,0.0,True,0.4215,positive
ABC4 Utah,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T05:46:45.000Z,9.0,2.0,0.0,0.0,True,0.4215,positive
KLST News,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app. ",2025-01-07T05:20:35.000Z,4.0,0.0,4.0,0.0,True,0.0772,positive
KUSI News,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T05:15:06.000Z,2.0,0.0,0.0,0.0,True,0.0772,positive
FOX 5 San Diego,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app",2025-01-07T04:37:36.000Z,12.0,2.0,2.0,0.0,True,0.0772,positive
WCBD News 2,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T04:32:12.000Z,3.0,0.0,2.0,0.0,True,0.4215,positive
WCBD News 2 | Count on 2,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/mMaCxWG1nt",2025-01-07T04:32:08.000Z,0.0,0.0,0.0,370.0,True,0.4215,positive
abc27 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

",2025-01-07T04:30:14.000Z,11.0,2.0,8.0,0.0,True,0.4215,positive
abc27 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

https://t.co/XWD07oLTcK",2025-01-07T04:30:06.000Z,0.0,0.0,0.0,457.0,True,0.4215,positive
News 8 WROC Rochester,"Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.
",2025-01-07T04:24:08.000Z,49.0,12.0,19.0,0.0,True,0.0,neutral
