PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data
433335735,https://www.facebook.com/11Alive/posts/pfbid0ZJgU4y9CyNKJ6JN9S9bfUn2oLpLvWVM5PAi1Jb9Wn2K6mxbHoyUx3yRzKWyoi4jHl,,Facebook,16547456,11Alive,blank_for_now,blank_for_now,"{""follower_count"":2041626,""following_count"":0,""like_count"":8213,""post_count"":47,""views_count"":0,""comment_count"":2067,""share_count"":406}",It only takes a second to share. Atlanta Police need help finding missing siblings11-year-old Kali Daniel and 12-year-old Carmelo Daniel., ,no longer populated,,2025-02-09T03:41:37.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSHUxV0RRPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f4ca97a71c5bb4e36def5905c9a3586570f09f09/post-16547456-433335735-thumbnail,27471,37640,5951,0,,
433060862,https://twitter.com/ClaytonTV23/status/1888252770815291829,,Twitter,19192460,Clayton County TV,blank_for_now,blank_for_now,"{""follower_count"":1068,""following_count"":261,""like_count"":390,""post_count"":17224,""views_count"":77247,""comment_count"":63,""share_count"":44}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/bSEzueFYf2, ,no longer populated,,2025-02-08T15:45:17.000Z,post data removed,,0,0,0,20,,
433083877,https://twitter.com/ClaytonCountyGA/status/1888252770676769022,,Twitter,16299979,Clayton County Government (Board of Commissioners),blank_for_now,blank_for_now,"{""follower_count"":4056,""following_count"":328,""like_count"":null,""post_count"":19450,""views_count"":null,""comment_count"":null,""share_count"":null}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/kZn3az8h8v, ,no longer populated,,2025-02-08T15:45:17.000Z,post data removed,,0,0,0,43,,
432475664,https://twitter.com/ClaytonTV23/status/1887890388972667393,,Twitter,19192460,Clayton County TV,blank_for_now,blank_for_now,"{""follower_count"":1068,""following_count"":261,""like_count"":390,""post_count"":17224,""views_count"":77196,""comment_count"":63,""share_count"":44}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/TvcVTKBKmP, ,no longer populated,,2025-02-07T15:45:18.000Z,post data removed,,1,0,0,13,,
432128791,https://twitter.com/ClaytonCountyGA/status/1887890388871995899,,Twitter,16299979,Clayton County Government (Board of Commissioners),blank_for_now,blank_for_now,"{""follower_count"":4055,""following_count"":328,""like_count"":null,""post_count"":19445,""views_count"":null,""comment_count"":null,""share_count"":null}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/YF81rIettP, ,no longer populated,,2025-02-07T15:45:18.000Z,post data removed,,0,0,0,24,,
432095776,https://www.facebook.com/permalink.php?story_fbid=pfbid0VPrHgKe1EMj7vs4h1Gqm9o3Kv5NMddHqojyfuDGevo7FLU8j768E8yiEK8Z4xp58l&id=61556613299874,,Facebook,29407919,Jared Randall Democrat for Congress  non-establishment ,blank_for_now,blank_for_now,"{""follower_count"":76,""following_count"":null,""like_count"":30,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","Fully Fund Tarc buses city and state leaders in the 2025 budget!!  
And Louisville is defunding ALL public transportation sadly cut 22 Tarc Louisville buses services June 30th, 2024, and 11 more January 2025 because our city and state leaders choose 2 bridges over the Louisville T2 Light Rail idea    https://brokensidewalk.com/2011/a-quick-look-back-at-light-rail-in-louisville/ so we can build 2 more bridges and a 338-million-dollar tunnel under some rich guy's house in Prospect KY. https://www.urbanophile.com/2012/01/11/indianas-bridge-deal-boondoggle-part-3-indots-mini-big-dig/
Louisville sadly is run like a small town sadly! 

Also another example Atlanta MARTA Light Rail that just got update link below
https://www.facebook.com/reel/562742359708901/?

Chicago has had Light Rail (above ground subway) since the late 1800's, and Louisville still does not sadly!!! 

HISTORY OF THE L
Beginning in the 1870s, as Chicago grew at an incredibly rapid pace, private companies laid rail tracks downtown and began introducing streetcars pulled by horses. In the 1880s, these horse-drawn trolleys were replaced by cable car services. But this form of transportation couldn’t handle a high volume of passengers and it added to street congestion.

On June 6, 1892, the first elevated—or “L”—train ran from 39th (now Pershing Road) and State streets to Congress Parkway and Wabash Avenue. By 1893, the Chicago and South Side Rapid Transit Railroad extended this line to Jackson Park, the site of the World’s Columbian Exposition of 1893. Today, this section of track is still part of the Green Line.

Multiple privately-operated train lines transported Chicagoans in the 1890s. However, these trains deposited people just outside the central business district—an area referred to as “the Loop” due to the cable cars that once created a loop around several blocks. A wealthy and controversial financier named Charles Tyson Yerkes soon changed all of this. Despite his sometimes illegal business practices, he had a lasting impact on Chicago by building elevated tracks above downtown streets to connect train lines together. Yerkes essentially created the Loop L we know today.

The first full circuit of the Loop was completed in 1897. Its steel structure was designed by bridge designer John Alexander Low Waddell. The iconic riveted steel-plate form resembles that of the Eiffel Tower (1889) and the original Ferris Wheel (1893).

All of Chicago’s trains were either elevated or at street grade until the 1940s. With funding from the Federal Works Agency—part of President Franklin D. Roosevelt’s New Deal—the State Street Subway, now part of the Red Line, opened in 1943. The Dearborn Street Subway, now part of the Blue Line, opened in 1951, following a construction delay during World War II. https://youtu.be/Sbq8uf25KWc?si=ssmwqb76ZzsmrSG5

Louisville DSA Get on the Bus fully Fund Tarc Public Transportation Meeting Tuesday night 2/4/25 campaign start!!! Get on the Bus 🙂Everyone can come to any Louisville DSA meetings! 
https://www.facebook.com/share/p/1ApmxUrVcu/?mibextid=wwXIfr
Also another example Atlanta MARTA Light Rail that just got update link below
https://www.facebook.com/reel/562742359708901/?

Some famous National DSA members are  Alexandria Ocasio-Cortez (AKA AOC) and Rashida Tlaib in the United States House of Representatives. Some well known Local DSA members are former state House Rep. Attica Scott and Louisville Metro Council members   Shameka Parrish-Wright and  J.P. Lyninger they both Louisville! Try a Louisville, KY Local of the Democratic Socialists of America meeting ANYONE is welcome establishment Democrats and Republicans work for Donors sometimes sadly.. 
Be awesome/cool  like Alexandria Ocasio-Cortez (AKA AOC) and Rashida Tlaib and try Democratic Socialists of America Louisville DSA!! https://www.dsalouisville.org/ 

Again some famous DSA members are  Alexandria Ocasio-Cortez (AKA AOC) and Rashida Tlaib in the United States House of Representatives.

The estimated cost to build the East End tunnels in Prospect, Kentucky was $338 million in 2014. The tunnels were part of the Kentucky approach to a new bridge. 
Explanation 
The tunnels were twin, two-lane tunnels that would carry traffic to and from the new bridge.
The tunnels were built under the Drumanard property, which is listed on the National Register of Historic Places.
The tunnels were part of the Ohio River Bridges Project, which cost $242.34 million in total.

The Background Story

Plans for an East End bridge date back to at least 1969. Part of the problem with building it has long been that the Kentucky approach to this bridge would pass through the town Prospect, arguably the Louisville area’s most affluent and influential suburb. (For readers in Central Indiana, think “Zionsville” or Southwest Clay Township in Carmel and you’ll have the picture). The wealthy and influential residents there were long able to stymie progress on the East End bridge. They also had an ally in Louisville major Jerry Abramson, who greatly feared a beltway connection that would allow traffic to bypass downtown Louisville. He promoted a new downtown bridge instead.

In the grand tradition of political compromise, Indiana and Kentucky agreed to build both bridges. This was in part possible because of a city-county merger in Louisville, which reduced the fear of downtown lobby because they would still control revenues from any East End growth the bridge might spawn. Hence was born the fiction of “two bridges, one project” even though there is no real transportation necessity to link the two and either one has independent utility.

But the Prospect residents were never going to give up. As part of their plan to kill the East End bridge, they managed to get the Dumanard Estate put onto the National Register of Historic Places to make it much more difficult to route a roadway through it. After the original listing that included the home and gardens, the listing was later expanded to include the entire 55-acre grounds.

If you are wondering how building two bridges got to be $4.1 billion in the first place, this is an example of how. To avoid impacting this single historic property, Kentucky agreed to build a $261 million tunnel underneath the estate. (LEO Weekly discussed this in an article called “The $260 Million Home.”)

The stunning thing about this tunnel is that the path of the road doesn’t actually affect any buildings, as this graphic from Broken Sidewalk illustrates:

If spending $260 million on this sounds ludicrous to you, then you are getting a sense of why Indiana shouldn’t be touching it with a ten foot pole.

A few readers were discussing Louisville’s old light rail proposal circa 2002 called Transportation Tomorrow (T2), so I decided to post the old renderings and route map in case anyone else needed a refresher.

From the project abstract at the U.S. DOT’s Context Sensitive Solutions site:

Travel and congestion in the South Central Corridor have dramatically increased due to population and employment growth within the Louisville Metropolitan Area (LMA). An important indicator of congestion has been growth in trips on I-65 that neither begin nor end in the LMA, but are “through trips” on the interstate system. The combined travel on I-65 for local, regional and through trips has resulted in slower and less predictable travel times and reduced mobility for many interlocking travel markets in the South Central Corridor. Accessibility to jobs, business establishments, and cultural, entertainment, institutional and public service destinations is deteriorating and is considered a primary limiting factor to social and economic development. Neighborhoods are affected by the diversion of some longer trips to the local street system. Existing bus transit operates in mixed traffic and experiences the same congestion as a private automobile. In most circumstances, the rising congestion penalizes the transit traveler more so than the automobile traveler when both in-vehicle and out-of-vehicle travel times are taken into consideration. Existing transit, therefore, does not, and cannot, effectively compete with the single occupant vehicle (SOV).

Mock-up of light rail in Shelby Park. (Courtesy TARC)
Mock-up of light rail in Shelby Park. (Courtesy TARC)
But what has happened to the T2 light rail proposal since then? From TARC’s FAQ page: What happened to Light Rail?

The Light Rail project began with a Major Investment Study in 1996. After initial studies and analysis, rapid transit was prioritized over other alternatives and the locally preferred South Central Corridor was selected. The project entered into the Federal New Starts Program, and it was approved as a project in Horizon 2030, the region’s long-range transportation plan. The project then moved into Preliminary Engineering after the FTA issued a ‘recommended’ rating and the draft environmental impact statement was completed. In 2004 – 2006, the FTA implied that the movement into Final Design was not possible without a secured local match and the Draft Environmental Statement was not released for public review. At this point, TARC withdrew the Transportation Tomorrow project from New Starts program due to the inability to secure local funding.", ,no longer populated,"It's been a busy couple of weeks for Get On The Bus!!! 🤩 First of all, don't miss our monthly campaign meeting NEXT Tuesday, February 11 at 7pm (Louisville Public Library Main Branch, Community Room 202, 301 York St.). RSVP at 🔗 https://bit.ly/gotb-feb-mtg

A couple days ago, we had a Canvassing Kick-off 🎉 in honor of #TransitEquityDay, but we still need help covering some areas of the city! For those who missed the canvassing kick-off, we will have ghost stickers and lit to pick up at the GOTB monthly meeting AND the LDSA General Meeting (Saturday at 11:30am) if you'd like to help canvass TARC bus stops.

We're proud to announce the first members of the GOTB coalition! 🤝 These organizations have signed on to our letter demanding that Metro Council MUST find ways to fund the Growth Option of TARC 2025. From unions to transit advocacy groups to neighborhoods associations, the spectrum of groups that signed on shows that public transit effects EVERYONE and EVERYTHING in our city. Does your organization belong in this coalition? ✍️ Sign on at 🔗 https://bit.ly/gotb-coalition-demand.

Lastly, in case you missed it, GOTB was featured in a @courierjournal article about TARC 2025 funding: https://www.courier-journal.com/story/news/local/2025/01/27/tarc-2025-louisville-public-transit-network-redesign-in-the-works/77860420007/

ATU local 1447 Shelby Park Neighborhood Association Portland Now, Inc. University of Louisville Secular Student Alliance  Louisville Metro Disability Coalition  St Stephen Church",2025-02-07T14:18:32.000Z,post data removed,,0,18,0,0,,"It's been a busy couple of weeks for Get On The Bus!!! 🤩 First of all, don't miss our monthly campaign meeting NEXT Tuesday, February 11 at 7pm (Louisville Public Library Main Branch, Community Room 202, 301 York St.). RSVP at 🔗 https://bit.ly/gotb-feb-mtg

A couple days ago, we had a Canvassing Kick-off 🎉 in honor of #TransitEquityDay, but we still need help covering some areas of the city! For those who missed the canvassing kick-off, we will have ghost stickers and lit to pick up at the GOTB monthly meeting AND the LDSA General Meeting (Saturday at 11:30am) if you'd like to help canvass TARC bus stops.

We're proud to announce the first members of the GOTB coalition! 🤝 These organizations have signed on to our letter demanding that Metro Council MUST find ways to fund the Growth Option of TARC 2025. From unions to transit advocacy groups to neighborhoods associations, the spectrum of groups that signed on shows that public transit effects EVERYONE and EVERYTHING in our city. Does your organization belong in this coalition? ✍️ Sign on at 🔗 https://bit.ly/gotb-coalition-demand.

Lastly, in case you missed it, GOTB was featured in a @courierjournal article about TARC 2025 funding: https://www.courier-journal.com/story/news/local/2025/01/27/tarc-2025-louisville-public-transit-network-redesign-in-the-works/77860420007/

ATU local 1447 Shelby Park Neighborhood Association Portland Now, Inc. University of Louisville Secular Student Alliance  Louisville Metro Disability Coalition  St Stephen Church"
431453343,https://twitter.com/ClaytonTV23/status/1887528003422298297,,Twitter,19192460,Clayton County TV,blank_for_now,blank_for_now,"{""follower_count"":1066,""following_count"":261,""like_count"":388,""post_count"":17154,""views_count"":76700,""comment_count"":63,""share_count"":44}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/Tx0XxsXUal, ,no longer populated,,2025-02-06T15:45:19.000Z,post data removed,,0,0,0,3,,
431480282,https://twitter.com/ClaytonCountyGA/status/1887528003460034587,,Twitter,16299979,Clayton County Government (Board of Commissioners),blank_for_now,blank_for_now,"{""follower_count"":4055,""following_count"":328,""like_count"":null,""post_count"":19396,""views_count"":null,""comment_count"":null,""share_count"":null}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/WP95RxVybk, ,no longer populated,,2025-02-06T15:45:19.000Z,post data removed,,0,0,0,21,,
431480323,https://twitter.com/ClaytonCountyGA/status/1887490240761212999,,Twitter,16299979,Clayton County Government (Board of Commissioners),blank_for_now,blank_for_now,"{""follower_count"":4055,""following_count"":328,""like_count"":null,""post_count"":19396,""views_count"":null,""comment_count"":null,""share_count"":null}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/XXGjuSjASs, ,no longer populated,,2025-02-06T13:15:15.000Z,post data removed,,0,0,0,16,,
431453402,https://twitter.com/ClaytonTV23/status/1887490240815710481,,Twitter,19192460,Clayton County TV,blank_for_now,blank_for_now,"{""follower_count"":1066,""following_count"":261,""like_count"":388,""post_count"":17154,""views_count"":76700,""comment_count"":63,""share_count"":44}",The Metropolitan Atlanta Rapid Transit Authority (MARTA) is offering more than 30 opportunities for the public to participate in virtual and in-person meetings in 2025 as part of its unveiling of the draft NextGen Bus Network plan. #Claytonconnected https://t.co/7CaKTZ0zAu, ,no longer populated,,2025-02-06T13:15:15.000Z,post data removed,,0,0,0,3,,
